runner,check_id,scope,check_name,status,blocking,expected,actual,detail
main,RECON-MAIN-001,cross_source,fixed_day complete key,PASS,true,"144 rows and unique ('slot_id',)",rows=144; unique_keys=144,
main,RECON-MAIN-002,cross_source,annual load complete key,PASS,true,"52560 rows and unique ('date', 'slot_id')",rows=52560; unique_keys=52560,
main,RECON-MAIN-003,cross_source,annual PV complete key,PASS,true,"52560 rows and unique ('date', 'slot_id')",rows=52560; unique_keys=52560,
main,RECON-MAIN-004,cross_source,annual merged actual complete key,PASS,true,"52560 rows and unique ('date', 'slot_id')",rows=52560; unique_keys=52560,
main,RECON-MAIN-005,cross_source,annual dynamic price complete key,PASS,true,"52560 rows and unique ('date', 'slot_id')",rows=52560; unique_keys=52560,
main,RECON-MAIN-006,cross_source,load and PV key sets identical,PASS,true,52560,52560,
main,RECON-MAIN-007,cross_source,merged actual and price key sets identical,PASS,true,52560,52560,
main,RECON-MAIN-008,cross_source,four source marker sequences identical,PASS,true,144 true flags,144,
main,RECON-MAIN-009,time_semantics,both hypotheses contain 144 slots,PASS,true,144 each,"{'H-END': 144, 'H-START': 144}",
main,RECON-MAIN-010,time_semantics,no final convention silently selected,PASS,true,0,0,
main,RECON-MAIN-011,time_semantics,H-END full-day coverage,PASS,true,0..1440,0..1440,
main,RECON-MAIN-012,time_semantics,H-START omits first interval and extends beyond day,PASS,true,10..1450,10..1450,
main,RECON-MAIN-013,forecast_grid,issue count,PASS,true,1460,1460,
main,RECON-MAIN-014,forecast_grid,long row count,PASS,true,35040,35040,
main,RECON-MAIN-015,forecast_grid,24 horizons 1..24 per issue,PASS,true,1460,1460,
main,RECON-MAIN-016,forecast_grid,nominal target formula,PASS,true,35040,35040,
main,RECON-MAIN-017,forecast_grid,whole-hour targets,PASS,true,35040,35040,
main,RECON-MAIN-018,forecast_grid,cross-year rows retained,PASS,true,40,40,
main,RECON-MAIN-019,forecast_grid,candidate marker vocabulary match,PASS,true,35040,35040,
