类别,复核项目,独立复算值,单位,说明/核验结论
冻结锚点,result2.xlsx sha256,93b0bf0ab5e419cc179b78c409fcfa88616cd95572f1f958268ccf42c5086a74,hex,与 CANDIDATE_FREEZE_MANIFEST.json 一致
冻结锚点,result2.xlsx size,574581,byte,一致
冻结锚点,KEY_RESULTS.csv sha256,17981f7681d1b1b75b1ecb1f3c40b71cfab119920bda181ee32b058a01bad3f5,hex,与 manifest 一致
核心账本复算,planned_purchase_kwh,21803694.9364317581,kWh/元,Candidate 标注 21803694.9364 ; 差 +3.176e-05
核心账本复算,emergency_purchase_kwh,106752.9776603876,kWh/元,Candidate 标注 106752.9777 ; 差 -3.961e-05
核心账本复算,plan_cost_yuan,13350598.3430019915,元,Candidate 标注 13350598.343 ; 差 +1.991e-06
核心账本复算,emergency_cost_yuan,626124.8105421517,元,Candidate 标注 626124.8105 ; 差 +4.215e-05
核心账本复算,total_cost_yuan,13976723.1535441428,元,Candidate 标注 13976723.153544 ; 差 +1.434e-07
核心账本复算,unused_planned_grid_kwh,1294262.0266719619,kWh/元,Candidate 标注 1294262.0267 ; 差 -2.804e-05
核心账本复算,pv_curtailment_kwh,1469770.7405228401,kWh/元,Candidate 标注 1469770.7405 ; 差 +2.284e-05
核心账本复算,initial_soc_kwh,9265.2592720741,kWh/元,Candidate 标注 9265.259272 ; 差 +7.408e-08
核心账本复算,final_soc_kwh,8752.8152978073,kWh/元,Candidate 标注 8752.815298 ; 差 -1.927e-07
核心账本复算,soc_min_kwh,1200.0,-,独立复算
核心账本复算,soc_max_kwh,10800.0,-,独立复算
核心账本复算,emergency_slot_count,681,-,独立复算
核心账本复算,emergency_event_count,208,-,独立复算
核心账本复算,total_cost_identity_residual,0.000e+00,元,plan+emergency=total
核心账本复算,policy_comparison_MAIN_vs_recompute,max_abs_diff=3.725e-09,元/kWh,15 项字段
result2一致性,计划购电量页 slot/EP/EQ 与canonical最大差,1.455e-11,kWh/元,"335x147, 334日期x144槽"
result2一致性,充放电量页 charge/discharge 最大差,1.819e-12,kWh,2004行=334x6
result2一致性,充放电量页 0:00/24:00 SOC 最大差,1.819e-12,kWh,各334值
result2一致性,紧急购电量页 非零行数 vs canonical 事件数,208 vs 208,行,排序后逐条比对
result2一致性,紧急购电量页 事件总量,106752.977660,kWh,canonical 106752.977660
指定日期一致性,2025-03-20 plan/EP/EQ 最大差,1.455e-11,kWh/元,逐值比对
指定日期一致性,2025-06-21 plan/EP/EQ 最大差,7.276e-12,kWh/元,逐值比对
指定日期一致性,2025-09-23 plan/EP/EQ 最大差,2.274e-13,kWh/元,逐值比对
指定日期一致性,2025-12-21 plan/EP/EQ 最大差,2.274e-13,kWh/元,逐值比对
