检查项,状态,阻塞,说明
P3-0本地Gate,PASS,False,
输入哈希_input\original\C题.pdf,PASS,False,
输入哈希_input\original\附件1.xlsx,PASS,False,
输入哈希_input\original\附件2.xlsx,PASS,False,
输入哈希_input\original\附件3.xlsx,PASS,False,
输入哈希_input\templates\result3.xlsx,PASS,False,
输入哈希_A_route\common\01_preprocessing\processed\fixed_day_10min.csv,PASS,False,
输入哈希_A_route\common\01_preprocessing\processed\year_actual_10min.csv,PASS,False,
输入哈希_A_route\common\01_preprocessing\processed\pv_forecast_hourly_long.csv,PASS,False,
输入哈希_A_route\problem2\02_batch_run\results\result2.xlsx,PASS,False,
输入哈希_A_route\problem2\03_candidate\CANDIDATE_FREEZE_MANIFEST.json,PASS,False,
输入哈希_A_route\CURRENT_STATE.md,PASS,False,
输入哈希_A_route\problem3\00_semantic_audit\P3_SEMANTIC_AUDIT.md,PASS,False,
输入哈希_A_route\problem3\00_semantic_audit\contracts\p3_semantic_contract.json,PASS,False,
输入哈希_A_route\problem3\00_semantic_audit\local_verification\P3_SEMANTIC_GATE.md,PASS,False,
输入哈希_A_route\problem3\00_semantic_audit\local_verification\p3_semantic_check_results.json,PASS,False,
输入哈希_A_route\problem3\00_information_audit\P3_INFORMATION_AUDIT_PLAN.md,PASS,False,
输入哈希_A_route\problem3\00_information_audit\P3_INFORMATION_CODEX_TASK.md,PASS,False,
输入哈希_A_route\problem3\00_information_audit\P3_INFORMATION_START_PROMPT.md,PASS,False,
输入哈希_A_route\problem3\00_information_audit\P3_INFORMATION_AUDIT_SPEC.json,PASS,False,
执行脚本版本_report_p3_information_audit.py,PASS,False,
执行脚本版本_run_p3_information_audit.py,PASS,False,
执行脚本版本_validate_p3_information_audit.py,PASS,False,
指定解释器,PASS,False,
合同冻结哈希_official_statement,PASS,False,
合同冻结哈希_attachment1,PASS,False,
合同冻结哈希_attachment2,PASS,False,
合同冻结哈希_attachment3,PASS,False,
合同冻结哈希_result3_template,PASS,False,
合同冻结哈希_fixed,PASS,False,
合同冻结哈希_actual,PASS,False,
合同冻结哈希_pv_hourly,PASS,False,
发行1460与小时35040,PASS,False,
日期块365连续唯一,PASS,False,
原小时跨年40与界外36,PASS,False,
实际52560与价格144,PASS,False,
评价账本210240与主键唯一,PASS,False,
每发行144槽与完整目标轴,PASS,False,
独立端点积分重算全部预测,PASS,False,使用线性插值两端取平均，与主脚本中点权重式独立核对
每小时六槽梯形能量守恒,PASS,False,
锚点仅已完成区间及首发行例外,PASS,False,
实际标签独立按区间起点对齐,PASS,False,
界外216条保留且不填零,PASS,False,
可评价210024条,PASS,False,
