类别,项目,A_route,B_route,单位,说明/核验
Gate,Crosscheck Gate,A_B_DIFFERENCE_EXPLAINED,,,三个阶段 Gate 中唯一符合者
Gate,TIME_MAPPING 状态,TIME_MAPPING_ALIGNED,,,"锚定官方附件列位置验证, 非由文件名推定"
Gate,A/B 是否同一正式期初 SOC,否,A 9265.259272 kWh / B 10800.000000 kWh,kWh,差 1534.740728
Gate,未解释冲突数量,0,,个,A_B_CONFLICT_REQUIRES_REVIEW 六条触发条件全部不成立
Gate,已解释差异数量,15,,个,"D1-D15, 见 P2_AB_CROSSCHECK.md §10"
Gate,是否允许进入 A-7.2 Result Review,YES,,,PROCEED_TO_A7_2_RESULT_REVIEW
Gate,A 核心费用可否独立复算,可,,,"由已保存逐槽量重算, 与 canonical/KEY_RESULTS/FREEZE_CHECK 一致"
Gate,A result2 与 canonical 是否一致,一致,,,"SHA256=93b0bf0a..., 计划页 max|diff|=2.274e-13 kWh"
Gate,A 是否存在未来信息泄漏,无,,,feature_max_date=d-1; 选择器只读过去28天已发布日期
时间映射,锚点,槽 j <-> 附件2 第 j 列 / 附件1 第 j 行,行 k <-> 附件2 第 k 列 / 附件1 第 k 行,,"逐值锚定, 不依赖文件名"
时间映射,负载逐槽最大差,0.000000,1.819e-12,kW,A vs 附件2 / B vs 附件2
时间映射,光伏逐槽最大差,0.000000,1.819e-12,kW,同上
时间映射,电价逐槽最大差,0.000000,0.000000,,A/B vs 附件1; 两边电价向量逐槽相同
时间映射,A 槽 j 与 B 行 j 逐值最大差,1.819e-12,,kW,负载/光伏; 电价 0.000000
时间映射,物理区间,"槽 j=[(j-1)*10, j*10) min",同,,"槽1=0:00-0:10, 槽144=23:50-24:00"
时间映射,0:00+1 / 24:00,槽144 结束=当天24:00,同,,附录2 规定 0:00+1 = 当天 24:00
时间映射,144 槽整日覆盖,0:00-24:00 无缺口无重叠,同,,"左端点读法会使日块跨到 24:10, 不自洽"
时间映射,日期集合,334 天 2025-02-01..2025-12-31,同,天,完全相同同序
时间映射,四个指定时段位置,槽 61/73/85/97/109/121,同行号,,24 个对照位置无错位
时间映射,表头文字差异,沿用模板原文(OI-01),改写为 0:00-0:10...,,"数值位置相同, 仅文字/内部日边界实现不同; OI-01 保持开放"
时间映射,B 旧 left-endpoint 版,不参与比较,行内循环移位一位,,其第2行=附件2 2025-02-01 第1列; 日边界落在物理 23:50; 仅作交付缺陷记录
共同物理口径,评价日期范围,"2025-02-01..2025-12-31, 334 天 / 48096 槽",同,,一致
共同物理口径,dt,10 min = 1/6 h,同,h,一致
共同物理口径,kW->kWh 转换,"*(1/6), 全链路一次",同,,一致
共同物理口径,单槽最大电量,833.333333,833.333333,kWh,5000 kW -> 833.333333; 两边实测最大值均为 833.333333
共同物理口径,SOC 上下限,"[1200, 10800]","[1200, 10800]",kWh,"实测 A [1200.0000,10800.0000] / B [1200.0000,10800.0000]"
共同物理口径,效率口径,eta_c=eta_d=0.9; S_k=S_(k-1)+0.9C-D/0.9,同,,SOC 递推残差 A 5.457e-12 / B 9.095e-13 kWh
共同物理口径,是否允许售电,否 (G>=0),否 (G>=0),,一致
共同物理口径,同时充放电槽数,0,0,个,一致
共同物理口径,跨日 SOC 是否连续,"连续, 333 个日界残差 0","连续, 残差 0",,两边都不做日重置
共同物理口径,未使用计划电是否仍全额收费,"是, 计划费=sum(p*G_plan) 不退款",同,,结算口径相同
共同物理口径,紧急购电是否严格 5p,是(残差 1.46e-11 元),是,,"5 倍, 不是 6 倍"
共同物理口径,终端 SOC 条件,"48h 内 S288=S0, 不要求 S144=S0",逐日 S144=S0,,不同; 见下界行
共同物理口径,期末 SOC 是否自由,自由,被日闭合钉在期初值,,不同
共同物理口径,能量平衡残差,4.547e-13,6.821e-13,kWh,used+pv+discharge+emergency = load+charge+curtailment
共同物理口径,计划层/执行层关系,"两层分离; 计划冻结 G, 执行层反馈控制可少取用","两层分离; 计划全额取用, 执行层不读名义 C/D",,"结构同类, 协调方式不同"
SOC 状态,正式期初 SOC,9265.259272,10800.000000,kWh,A=1月暖启动 MAIN 终值; B=1月充满后由日闭合维持
SOC 状态,正式期末 SOC,8752.815298,10800.000000,kWh,
SOC 状态,期内 SOC 净变化,-512.443974,0.000000,kWh,B 的日闭合使 10800 成为吸收态
SOC 状态,槽级 SOC 均值,7636.196853,7863.964344,kWh,A 的 SOC 工作区间更宽
SOC 状态,以满电开始一天的天数,0,276,天/334,B 的 SOC 顶格结构
SOC 状态,日内触及 SOC 上限的天数,322,324,天/334,
SOC 状态,日内触及 SOC 下限的天数,67,90,天/334,
SOC 状态,槽级处于上限的槽数,10190,14327,个/48096,21.19% vs 29.79%
预测与计划,预测对象,净负荷残差 r=N-(L_(d-7)-PV_(d-1)),负载与光伏分别预测后相加 + 净负荷残差裕度,,结构性差异
预测与计划,ML 方式,"LightGBM quantile(alpha=0.5/0.8), 18 因果特征, expanding window, 每 7 天重训(48次 x2=96 fit)","Ridge+RF 倒数误差加权集成, 442 维特征, walk-forward",,"只做结构比较, 未重新调参"
预测与计划,非 ML 基线分支,同结构基线的过去 28 天残差经验分位数,周同期/同星期均值,,
预测与计划,在线选择器,"只用过去 28 天已发布账本与 [0,d) 标签, 三项条件; LIGHTGBM 301/334 天",无选择器,,A 独有
预测与计划,风险水平,固定 Q80(净负荷),"80% 分位, 改进版 0.75-0.85 随 SOC 自适应",,
预测与计划,风险需求总量,20995145.4,19596028.9,kWh,A 高 +499116.5 (+2.547%); 由脚本从两边预测列独立求和
预测与计划,风险需求槽均值,417.813,407.436,kWh/槽,
预测与计划,风险需求逐槽差的分位 (A-B),p05 -57.68 / p25 -9.76 / p50 +6.53 / p75 +26.19 / p95 +94.06,,kWh/槽,"A 高端更保守、低端更少保守, 是形状差异而非平移"
预测与计划,风险需求价格加权均价,0.790828,0.791382,元/kWh,几乎相同
预测与计划,计划视野,48h 滚动 288 槽,144 槽,,
预测与计划,计划量,21803694.936432,21713150.769534,kWh,差 90544.166898 (+0.417%)
预测与计划,计划量加权均价,0.612309,0.608811,元/kWh,A 高 0.003498 (+0.575%)
预测与计划,"购电价格排序(1=当日最便宜, 量加权秩)",0.3432,0.3368,,两边都把购电集中在当日较便宜的槽
执行层,计划购电量是否冻结交付,是(当日前144槽与实际逐槽一致),是,,
执行层,实际充放电规则,当槽反馈控制器(capc/capd 受 SOC 与功率限),"盈余即充/缺口即放 贪心, 不读名义 C/D",,两层分离的结构同类
执行层,名义充电/放电,6643706.8 / 5590125.2,交付物不保留名义轨迹,kWh,B 的 right_endpoint CSV 只有实际充放电列
执行层,实际充电/放电,6356246.586882,6827660.599976,kWh,
执行层,名义净(D-C),-1053581.6,NA,kWh,
执行层,实际净(D-C),-1207225.651931,-1297255.513995,kWh,
执行层,名义净与实际净相关系数,+0.9188,NA,,A 的名义轨迹被重解但方向高度一致
执行层,名义有动作槽数,23983,NA,个/48096,49.9%
执行层,实际有动作槽数,38217,NA,个/48096,79.5%
执行层,名义充电>1kWh 而实际≈0 的槽,3570,NA,个,严格零判据下 3581
执行层,名义≈0 而实际充电>1kWh 的槽,14170,NA,个,严格零判据下 14352
执行层,电池热损 0.1C+(1/0.9-1)D,1207738.095905,1297255.513995,kWh,差 -89517.4
费用分解,计划费 / 元,13350598.343002,13219202.659961,元,差 +131395.683041 (+0.994%)
费用分解,紧急购电量,106752.977660,127460.354704,kWh,差 -20707.377043 (-16.246%)
费用分解,紧急费,626124.810542,782769.683867,元,差 -156644.873325 (-20.006%)
费用分解,总费用,13976723.153544,14001972.343828,元,差 -25249.190284 (-0.180%)
费用分解,计划费差的量效应,55282.64,,元,42.1%
费用分解,计划费差的价效应,76113.04,,元,57.9%
费用分解,紧急槽加权均价,5.87,6.14,元/kWh,A 的紧急购电更多落在相对便宜的槽
费用分解,计划量差四项恒等分解,d(C-D)+dW-dE+U_A,,kWh,-90029.9 -1134395.4 +20707.4 +1294262.0 = +90544.2 (残差 6.821e-13)
处置量,未使用计划电,1294262.026672,0 (构造),kWh,A 占计费计划量 5.936%
处置量,光伏弃电,1469770.740523,2604166.115276,kWh,差 -1134395.4 (-43.6%)
处置量,处置总量,2764032.767195,2604166.115276,kWh,占计费计划量 A 12.677% / B 11.993%
处置量,未取用电的已付金额,756432.70,0.00,元,"均价 0.584451 元/kWh, 低于 A 计划均价, 集中在低价槽"
处置量,计入费用的取用量(实际取电),20509432.909760,21713150.769534,kWh,差 -1203717.9 (-5.544%)
处置量,实际购置量(取电+紧急),20616185.887420,21840611.124238,kWh,差 -1224425.2 (-5.606%)
处置量,实际购置量差的恒等分解,d(C-D)+dW,,kWh,"-90029.9 -1134395.4 = -1224425.3, 与实际 -1224425.2 相差 0.1 kWh"
紧急结构,A 紧急槽 / 合并区间 / 有紧急天数,681 / 208 / 126,,个,零紧急天数 208/334; 单日最大 10787.6 kWh
紧急结构,B 紧急槽 / 合并区间 / 有紧急天数,780 / 241 / 137,,个,零紧急天数 197/334; 单日最大 12512.9 kWh
完美预见下界,A 自身结构(48h闭合)下界 vs A 实际,12247279.19,13976723.15,元,A 高出 1729443.96 (14.12%)
完美预见下界,B 自身结构(日闭合)下界 vs B 实际,12291024.77,14001972.34,元,B 高出 1710947.57 (13.92%)
完美预见下界,统一 S0=10800 时 A/B 各结构下界,12260454.63,12291024.77,元,A 48h 闭合 / B 日闭合
完美预见下界,无闭合自由终端 (S0=A / S0=B),12226656.68,12226042.07,元,"A 的 oracle 自报值 12226656.67784342, 相差 <0.01 元"
初期SOC效应,E = 费用(S0=10800) - 费用(S0=A),no_close -614.61,,元,负号=起满更便宜; 正号=起满更贵
初期SOC效应,E @ 48h 闭合(A 自身结构),+13175.44,,元,A 的较低起始水位值这么多
初期SOC效应,E @ 逐日闭合(B 自身结构),+26573.27,,元,同上; 机制为闭合回补导致的多余循环与往返损失
初期SOC效应,A 运营性优势 = 25249.19 - E,no_close +25863.80,,元,48h 闭合 +12073.75; 逐日闭合 -1324.08
指定日期,2025-03-20 计划量 A/B,68903.85,71435.35,kWh,ratio A/B=0.964562
指定日期,2025-03-20 计划费 A/B,42663.61,43351.74,元,紧急量 A 55.97 / B 0.00 kWh
指定日期,2025-03-20 0:00 / 24:00 SOC,9063.11 / 4814.56,10800.00 / 10800.00,kWh,
