item_id,item,A_semantics,B_semantics,aligned,classification,evidence_A,evidence_B,consequence_for_cost_comparison
S-01,H-END / H-START,,,YES,ALIGNED,X-E01 residual 1.11e-16 (price); X-E03 residual 1.82e-12 (load/PV),X-E02 residual 0.000e+00 (price); X-E04 residual 0.000e+00 (load/PV),
S-02,10-minute slot,,,YES,ALIGNED,"X-E10 (capacity 12000 kWh, 833.3333 kWh/slot, eta_c=eta_d=0.9, SOC band [1200,10800])",X-E10 (same four parameters); block_lengths x 833.3333 in solve_stochastic_lp,
S-03,attachment3 issue / target,,,YES,ALIGNED,"X-E06 residual 6.366e-12 kW over all 206,208 PREFIX ledger rows (1428 releases x 144 rows), keyed by the ISSUE date",X-E07 (node placement identical; only the sampling instant differs),
S-04,hourly PV -> 10min,,,NO,EXPLAINED_BY_METHOD,"X-E06 (centre sampling reproduces the ledger exactly, 6.37e-12)",X-E07 (endpoint sampling by construction),
S-05,0 / 6 / 12 / 18 decision boundaries,,,PARTIAL,EXPLAINED_BY_SEMANTIC_ASSUMPTION,X-E08 (first modifiable interval in physical time: 0:00 / 6:00 / 12:00 / 18:00),X-E08 (0:10 / 6:00 / 12:00 / 18:00),
S-06,load / PV forecast,,,NO,EXPLAINED_BY_METHOD,"p3_forecast.py forecast_asof; p3_forecast_ledger.csv (load_forecast_kw, w1_kw)",problem3.py build_load_forecasts / january_bias_gate / pv_scenarios,
S-07,availability of future actuals,,,YES,ALIGNED,"p3_forecast.py cutoff assertion; p3_causality.py fresh_context; future-peeking positive control moves the forecast by 601.04 kW (load) / 2114.04 kW (PV), so the check is non-vacuous","B review future-masking checks: source days strictly earlier, residuals mature",
S-08,January warm-up / Feb-1 initial SOC,,,NO,EXPLAINED_BY_INITIAL_STATE,logs/input_manifest.json warmup_terminal_soc_kwh; X-E numeric table row '正式期初 SOC',daily_summary.csv first formal day soc_start_kwh,
S-09,rolling SOC,,,NO,EXPLAINED_BY_METHOD,"p3_actual_schedule soc_start/soc_end chain; day-end equality NOT imposed (disclosed; nonzero on 327/334 days, max 6469.274026 kWh)",B-W18/B-W20 FAIL in the frozen B review,
S-10,24-hour horizon / continuation,,,NO,EXPLAINED_BY_METHOD,solve_plan docstring and the current_slots slice; KEEP bounds only over current_slots,solve_stochastic_lp(block_lengths) with a shrinking H,
S-11,terminal treatment,,,NO,EXPLAINED_BY_METHOD,p3_dispatch.py obj[sbase+N-1] = -terminal_value; value = ordinary + risk - terminal*(states[-1]-lo),"solve_stochastic_lp: aeq[r, soc+h_count] = 1; beq[r] = terminal_soc",
S-12,adjustment settlement,,,NO,EXPLAINED_BY_SEMANTIC_ASSUMPTION,"x3_numeric.py A_own FINAL_VS_0H = 13,741,771.833638 (frozen ledger reproduced)","x3_numeric.py B_own chain = 15,018,433.144849 (frozen ledger reproduced)",
S-13,repeated adjustment reference,,,NO,EXPLAINED_BY_SEMANTIC_ASSUMPTION,"A: chain - FINAL_VS_0H = +101,784.72 yuan on A's own quantities","B: chain - FINAL_VS_0H = +347,515.04 yuan on B's own quantities; a third, g0-referenced incremental rule (B review B-N19) reproduces 15,962,037.532739",
S-14,emergency price,,,YES,ALIGNED,p3_dispatch.py feedback() and the emergency columns of solve_plan,problem3.py execute_interval and daily_summary emergency_cost,
S-15,unused commitment,,,NO,EXPLAINED_BY_METHOD,"feedback(): r = load-pv+c-d-a; excess = max(-r,0); unused = min(a,excess)","execute_interval(): curtail = min(remainder, solar); spill = max(0, remainder-curtail)",
S-16,curtailment,,,NO,EXPLAINED_BY_METHOD,feedback(): 'pv_curtailment_kwh': excess-unused,"execute_interval(): curtail = min(remainder, solar)",
S-17,feedback controller,,,NO,EXPLAINED_BY_METHOD,"p3_dispatch.py feedback(), choose(), rollout()",problem3.py run_policy + execute_interval; B-DEF-02 in the frozen B review,
S-18,adjusted-sheet semantics,,,PARTIAL,EXPLAINED_BY_OUTPUT_MAPPING,"X-E09; result3 template header runs 0:10-0:20 .. 23:50-0:00+1, 0:00-0:10+1; A writes slot j at column j (max diff 0.0)",X-E09; B writes the shifted day; the frozen B review does not reconcile the sheet,
